ISIN,date,face_value,security_group,industry,instrument,market_lot,name_of_company,paid_up_value,security_code,security_id,security_name,series,symbol,nse,bse,trading_location
INE721A08CI7,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949228,1025STFC23A,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE721A08CJ5,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949229,1025STFC23B,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE774D08LF7,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949234,950MMFSL23B,Mahindra & Mahindra Financial Services Ltd,0,0,0,1,India
INE013A07WB4,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949236,940RCL2023A,Reliance Capital Ltd,0,0,0,1,India
INE019A07258,0,1000000,F ,Iron & Steel/Interm.Products,Debentures and Bonds,0,0,0,949242,1002JSW2023,JSW Steel Ltd,0,0,0,1,India
INE217K08123,0,1000000,F ,Housing Finance ,Debentures and Bonds,0,0,0,949246,950RHFL2023,Reliance Home Finance Ltd,0,0,0,1,India
INE721A08CK3,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949250,10STFC2028B,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE896L07074,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949281,114ICFL23B,IndoStar Capital Finance Ltd,0,0,0,1,India
INE941D07133,0,1000000,F ,Utilities:Non-Elec.,Debentures and Bonds,0,0,0,949296,845SPTL23,SIKKA PORTS & TERMINALS LTD,0,0,0,1,India
INE721A08CM9,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949297,1015STFC23A,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE013A08309,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949319,925RCL2023B,Reliance Capital Ltd,0,0,0,1,India
INE172G07245,0,975000,F ,Realty,Debentures and Bonds,0,0,0,949332,14LCL2020A,LAVASA CORPORATION Ltd,0,0,0,1,India
INE538F07132,0,1000000,F ,Electric Utilities,Debentures and Bonds,0,0,0,949336,1250EPL2024,ESSAR POWER Ltd,0,0,0,1,India
INE101A08070,0,1000000,F ,Cars & Utility Vehicles,Debentures and Bonds,0,0,0,949342,955MML2063,Mahindra & Mahindra Ltd.,0,0,0,1,India
INE872A08DB1,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949354,1075SEFL23C,SREI Equipment Finance Ltd,0,0,0,1,India
INE872A08DC9,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949355,1075SEFL23D,SREI Equipment Finance Ltd,0,0,0,1,India
INE721A08CN7,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949357,1010STFC23,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE721A07FT9,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949368,960STFC23A,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE721A08CO5,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949369,1025STFC23V,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
INE217K07208,0,1000000,F ,Housing Finance ,Debentures and Bonds,0,0,0,949370,935RHFL2023,Reliance Home Finance Ltd,0,0,0,1,India
INE872A08DH8,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949379,1075SEFL23,SREI Equipment Finance Ltd,0,0,0,1,India
INE721A07FZ6,0,1000000,F ,Finance (including NBFCs),Debentures and Bonds,0,0,0,949380,960STFC2023,Shriram Transport Finance Co. Ltd.,0,0,0,1,India
